ID,Feature / Area,Page / Route,Description,Priority,Status,Environment,Last Updated,Test Instructions,Notes,,
TASK-167,Roadmap - Phase 5,/international,"Phase 5: Launch regional modules /uk, /au, /ca with compliant feature sets and disclaimers",High,Planned,UK Australia Canada,11/30/2025,1) Complete legal/compliance research. 2) Build regional modules. 3) Implement compliant features. 4) Add regional disclaimers. 5) Test compliance. 6) Launch in each region.,International expansion drives growth.,,
TASK-168,Roadmap - Phase 5,/uk,Phase 5 Sub-task: Launch UK module with compliant features,High,Planned,UK,11/30/2025,1) Complete UK compliance research. 2) Build UK module. 3) Implement UK-compliant features. 4) Add UK disclaimers. 5) Test compliance. 6) Launch UK.,UK launch requires full compliance.,,
TASK-169,Roadmap - Phase 5,/au,Phase 5 Sub-task: Launch Australia module with compliant features,High,Planned,Australia,11/30/2025,1) Complete AU compliance research. 2) Build AU module. 3) Implement AU-compliant features. 4) Add AU disclaimers. 5) Test compliance. 6) Launch Australia.,Australia launch requires full compliance.,,
TASK-170,Roadmap - Phase 5,/ca,Phase 5 Sub-task: Research and plan Canada module,Medium,Planned,Canada,11/30/2025,1) Research Canadian regulations. 2) Document compliance requirements. 3) Create implementation plan. 4) Estimate effort. 5) Plan Canada launch.,Canada expansion requires research.,,
TASK-171,Roadmap - Phase 6,/growth,"Phase 6: Iterate on growth loops (referrals, content marketing, partnerships, affiliates)",High,Planned,Both,11/30/2025,1) Implement referral system. 2) Launch content marketing. 3) Build partnerships. 4) Create affiliate program. 5) Test growth loops. 6) Optimize based on data.,Growth loops drive sustainable growth.,,
TASK-172,Roadmap - Phase 6,/referrals,Phase 6 Sub-task: Implement and optimize referral system,High,Planned,Both,11/30/2025,1) Build referral system. 2) Create referral tracking. 3) Design referral rewards. 4) Test referral flow. 5) Optimize based on data.,Referrals drive organic growth.,,
TASK-173,Roadmap - Phase 6,/content,"Phase 6 Sub-task: Launch content marketing strategy (blog, SEO, educational content)",Medium,Planned,Both,11/30/2025,1) Create content strategy. 2) Build blog system. 3) Create initial content. 4) Optimize for SEO. 5) Measure content performance.,Content marketing drives organic traffic.,,
TASK-174,Roadmap - Phase 6,/partnerships,"Phase 6 Sub-task: Build strategic partnerships (wholesaling education, real estate groups, etc.)",Medium,Planned,Both,11/30/2025,1) Identify partnership opportunities. 2) Reach out to potential partners. 3) Negotiate partnerships. 4) Implement partnership features. 5) Measure partnership impact.,Partnerships accelerate growth.,,
TASK-175,Roadmap - Phase 6,/affiliates,Phase 6 Sub-task: Create and manage affiliate program,Low,Planned,Both,11/30/2025,1) Design affiliate program. 2) Build affiliate tracking. 3) Create affiliate dashboard. 4) Recruit affiliates. 5) Manage and optimize program.,Affiliate program scales growth.,,
TASK-176,Watchlist Count Badge,/,Add a numeric badge to the Watchlist icon showing how many properties the user has saved.,Medium,Not Started,Production,12/5/2025,Log in with watchlist items then verify badge count updates when adding or removing items.,Should use lightweight client fetch to avoid layout shifts.,,
TASK-177,Watchlist Skeleton Loader,/watchlists,Add skeleton placeholders when loading watchlist items to improve perceived speed.,Low,Not Started,Production,12/5/2025,Throttle network and confirm skeleton displays until data loads.,Match existing skeleton styling from other pages.,,
TASK-178,Grid Save-Unsave Button,/listings and /search,Allow saving or unsaving properties directly from listing cards with a heart icon.,High,Not Started,Production,12/5/2025,Click save or unsave on card and verify watchlist count updates.,Optimistic UI recommended for fast feedback.,,
TASK-179,Watchlist Analytics Tracking,/admin/analytics,Track total watchlist saves per listing and save-to-inquiry conversions.,Medium,Not Started,Production,12/5/2025,Open analytics page and verify counters update when users save items.,Used for scaling insights and marketing optimization.,,
TASK-180,Watchlist Organization Tools,/watchlists,Enable grouping such as Hot Deals or Follow Up for saved properties.,Low,Not Started,Production,12/5/2025,Add a property to a category and confirm it persists on reload.,Start with fixed categories and allow custom categories later.,,
TASK-181,Sign up,,Make the signup process better. Add in profile build and such,High,Not Started,Both,12/6/2025,,,,
